TIPE|TOKO|TGL_SALES|KOLOM1|KOLOM2|KOLOM3|KOLOM4|TIPE_SHIFT
MINUS|T70X|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  T70X 10/12/2022|129075|HARIAN
HEADER|TX35|2022-12-10|47000000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TX35|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TX35 10/12/2022|84549|HARIAN
HEADER|TNAE|2022-12-10|51100000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TNAE|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TNAE 10/12/2022|82808|HARIAN
HEADER|TJ7E|2022-12-10|20950000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TJ7E|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TJ7E 10/12/2022|65675|HARIAN
HEADER|T3IU|2022-12-10|29350000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T3IU|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  T3IU 10/12/2022|63300|HARIAN
HEADER|TU52|2022-12-10|29500000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TU52|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TU52 10/12/2022|54150|HARIAN
HEADER|TW1T|2022-12-10|50200000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TW1T|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TW1T 10/12/2022|50105|HARIAN
HEADER|TX01|2022-12-10|34650000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TX01|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TX01 10/12/2022|47364|HARIAN
HEADER|T31X|2022-12-10|25250000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T31X|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  T31X 10/12/2022|46967|HARIAN
HEADER|T2SD|2022-12-10|19800000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T2SD|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  T2SD 10/12/2022|42477|HARIAN
